Shipment ID,Delivery Date,Safety Compliant?
SHIP-100068,2025-01-26,Yes
SHIP-100069,2025-05-10,Yes
SHIP-100070,2025-07-13,Yes
SHIP-100071,2025-04-28,Yes
SHIP-100072,2025-10-06,Yes
SHIP-100073,2025-08-26,Yes
SHIP-100074,2025-03-08,Yes
SHIP-100075,2025-03-21,Yes
SHIP-100076,2025-09-21,Yes
SHIP-100077,2025-05-11,Yes
SHIP-100078,2025-06-23,Yes
SHIP-100079,2025-09-02,Yes
SHIP-100080,2025-08-14,Yes
SHIP-100081,2025-08-26,Yes
SHIP-100082,2025-01-31,Yes
SHIP-100083,2025-04-15,Yes
SHIP-100084,2025-12-16,Yes
SHIP-100085,2025-08-27,Yes
SHIP-100086,2025-07-02,Yes
SHIP-100087,2025-01-12,Yes
SHIP-100088,2025-02-12,Yes
SHIP-100089,2025-05-27,Yes
SHIP-100090,2025-02-07,Yes
SHIP-100091,2025-01-09,Yes
SHIP-100092,2025-10-19,Yes
SHIP-100093,2025-04-13,No
SHIP-100094,2025-02-17,Yes
SHIP-100095,2025-04-04,Yes
SHIP-100096,2025-01-06,Yes
SHIP-100097,2025-09-11,Yes
SHIP-100098,2025-05-09,Yes
SHIP-100099,2025-07-15,Yes
SHIP-100100,2025-11-28,Yes
SHIP-100101,2025-10-24,Yes
SHIP-100102,2025-11-20,Yes
SHIP-100103,2025-11-18,Yes
SHIP-100104,2025-08-24,Yes
SHIP-100105,2025-04-29,Yes
SHIP-100106,2025-01-19,Yes
SHIP-100107,2025-03-30,Yes
SHIP-100108,2025-02-05,Yes
SHIP-100109,2025-04-14,Yes
SHIP-100110,2025-04-07,Yes
SHIP-100111,2025-01-19,Yes
SHIP-100112,2025-01-05,Yes
SHIP-100113,2025-08-22,Yes
SHIP-100114,2025-05-05,Yes
SHIP-100115,2025-11-23,Yes
SHIP-100116,2025-05-02,Yes
SHIP-100117,2025-06-28,Yes
SHIP-100118,2025-09-21,Yes
SHIP-100119,2025-12-18,Yes
SHIP-100120,2025-05-08,Yes
SHIP-100121,2025-06-04,Yes
SHIP-100122,2025-11-18,Yes
SHIP-100123,2025-12-18,Yes
SHIP-100124,2025-04-06,Yes
SHIP-100125,2025-10-02,Yes
SHIP-100126,2025-08-29,Yes
SHIP-100127,2025-08-19,Yes
SHIP-100128,2025-01-24,Yes
SHIP-100129,2025-03-14,Yes
SHIP-100130,2025-09-03,Yes
SHIP-100131,2025-11-22,Yes
SHIP-100132,2025-06-27,Yes
SHIP-100133,2025-02-06,Yes
SHIP-100134,2025-10-02,No
SHIP-100135,2025-04-04,Yes
SHIP-100136,2025-12-10,Yes
SHIP-100137,2025-12-07,Yes
SHIP-100138,2025-04-15,Yes
SHIP-100139,2025-04-08,Yes
SHIP-100140,2025-04-29,Yes
SHIP-100141,2025-04-04,Yes
SHIP-100142,2025-03-16,Yes
SHIP-100143,2025-06-11,Yes
SHIP-100144,2025-04-13,Yes
SHIP-100145,2025-07-03,Yes
SHIP-100146,2025-05-13,Yes
SHIP-100147,2025-10-05,Yes
SHIP-100148,2025-03-29,Yes
SHIP-100149,2025-01-20,Yes
SHIP-100150,2025-08-08,Yes
SHIP-100151,2025-06-27,Yes
SHIP-100152,2025-08-25,No
SHIP-100153,2025-08-01,Yes
SHIP-100154,2025-12-13,Yes
SHIP-100155,2025-09-15,Yes
SHIP-100156,2025-09-14,Yes
SHIP-100157,2025-02-26,Yes
SHIP-100158,2025-04-24,Yes
SHIP-100159,2025-05-17,Yes
SHIP-100160,2025-10-19,Yes
SHIP-100161,2025-05-10,Yes
SHIP-100162,2025-04-21,Yes
SHIP-100163,2025-07-23,Yes
SHIP-100164,2025-08-01,Yes
SHIP-100165,2025-02-23,Yes
SHIP-100166,2025-03-16,Yes
SHIP-100167,2025-10-25,Yes
SHIP-100168,2025-08-22,Yes
SHIP-100169,2025-10-16,Yes
SHIP-100170,2025-08-22,Yes
SHIP-100171,2025-09-25,Yes
SHIP-100172,2025-02-05,Yes
SHIP-100173,2025-05-02,Yes
SHIP-100174,2025-10-01,Yes
SHIP-100175,2025-04-23,Yes
SHIP-100176,2025-11-18,Yes
SHIP-100177,2025-05-30,Yes
SHIP-100178,2025-02-17,Yes
SHIP-100179,2025-03-24,Yes
SHIP-100180,2025-08-05,Yes
SHIP-100181,2025-12-14,Yes
SHIP-100182,2025-04-10,Yes
SHIP-100183,2025-08-12,Yes
SHIP-100184,2025-02-08,Yes
SHIP-100185,2025-10-16,No
SHIP-100186,2025-12-12,Yes
SHIP-100187,2025-03-11,Yes
SHIP-100188,2025-05-15,Yes
SHIP-100189,2025-08-30,Yes
SHIP-100190,2025-03-08,Yes
SHIP-100191,2025-12-04,Yes
SHIP-100192,2025-05-30,Yes
SHIP-100193,2025-08-13,Yes
SHIP-100194,2025-01-24,Yes
SHIP-100195,2025-01-25,Yes
SHIP-100196,2025-10-18,Yes
SHIP-100197,2025-07-25,Yes
SHIP-100198,2025-10-06,No
SHIP-100199,2025-11-02,Yes
SHIP-100200,2025-01-14,No
SHIP-100201,2025-05-09,Yes
SHIP-100202,2025-02-23,Yes
SHIP-100203,2025-05-25,Yes
SHIP-100204,2025-07-23,No
SHIP-100205,2025-03-12,Yes
SHIP-100206,2025-05-20,Yes
SHIP-100207,2025-10-24,Yes
SHIP-100208,2025-05-20,Yes
SHIP-100209,2025-10-14,Yes
SHIP-100210,2025-07-20,Yes
SHIP-100211,2025-01-24,Yes
SHIP-100212,2025-10-27,Yes
SHIP-100213,2025-08-28,Yes
SHIP-100214,2025-03-28,Yes
SHIP-100215,2025-08-13,Yes
SHIP-100216,2025-07-23,Yes
SHIP-100217,2025-04-04,Yes
SHIP-100218,2025-08-27,Yes
SHIP-100219,2025-04-23,Yes
SHIP-100220,2025-01-17,Yes
SHIP-100221,2025-01-23,Yes
SHIP-100222,2025-03-09,Yes
SHIP-100223,2025-05-29,Yes
SHIP-100224,2025-11-23,Yes
SHIP-100225,2025-06-25,Yes
SHIP-100226,2025-02-09,Yes
SHIP-100227,2025-06-29,Yes
SHIP-100228,2025-06-28,Yes
SHIP-100229,2025-09-03,Yes
SHIP-100230,2025-03-01,Yes
SHIP-100231,2025-10-28,Yes
SHIP-100232,2025-06-11,Yes
SHIP-100233,2025-12-23,Yes
SHIP-100234,2025-02-19,Yes
SHIP-100235,2025-06-26,Yes
SHIP-100236,2025-02-26,Yes
SHIP-100237,2025-06-13,Yes
SHIP-100238,2025-04-02,Yes
SHIP-100239,2025-11-17,Yes
SHIP-100240,2025-08-11,Yes
SHIP-100241,2025-10-21,Yes
SHIP-100242,2025-12-31,Yes
SHIP-100243,2025-07-11,Yes
SHIP-100244,2025-03-02,Yes
SHIP-100245,2025-05-20,Yes
SHIP-100246,2025-05-10,Yes
SHIP-100247,2025-10-01,Yes
SHIP-100248,2025-09-23,Yes
SHIP-100249,2025-02-13,No
SHIP-100250,2025-03-16,Yes
SHIP-100251,2025-04-12,Yes
SHIP-100252,2025-04-29,Yes
SHIP-100253,2025-05-25,Yes
SHIP-100254,2025-06-16,Yes
SHIP-100255,2025-09-29,Yes
SHIP-100256,2025-07-06,Yes
SHIP-100257,2025-01-30,No
SHIP-100258,2025-06-20,Yes
SHIP-100259,2025-08-11,Yes
SHIP-100260,2025-09-10,Yes
SHIP-100261,2025-05-27,Yes
SHIP-100262,2025-12-25,Yes
SHIP-100263,2025-08-08,Yes
SHIP-100264,2025-08-05,Yes
SHIP-100265,2025-12-29,Yes
SHIP-100266,2025-12-07,Yes
SHIP-100267,2025-10-30,Yes
SHIP-100268,2025-05-11,Yes
SHIP-100269,2025-07-12,Yes
SHIP-100270,2025-12-22,Yes
SHIP-100271,2025-06-15,Yes
SHIP-100272,2025-04-17,Yes
SHIP-100273,2025-03-16,Yes
SHIP-100274,2025-06-06,Yes
SHIP-100275,2025-03-02,Yes
SHIP-100276,2025-03-21,Yes
SHIP-100277,2025-04-12,Yes
SHIP-100278,2025-08-09,Yes
SHIP-100279,2025-08-01,Yes
SHIP-100280,2025-04-24,Yes
SHIP-100281,2025-07-13,Yes
SHIP-100282,2025-02-09,Yes
SHIP-100283,2025-06-02,Yes
SHIP-100284,2025-10-10,Yes
SHIP-100285,2025-05-17,Yes
SHIP-100286,2025-08-24,Yes
SHIP-100287,2025-03-17,Yes
SHIP-100288,2025-11-09,Yes
SHIP-100289,2025-07-18,Yes
SHIP-100290,2025-12-21,Yes
SHIP-100291,2025-10-06,Yes
SHIP-100292,2025-12-17,Yes
SHIP-100293,2025-01-15,Yes
SHIP-100294,2026-01-06,Yes
SHIP-100295,2025-07-14,Yes
SHIP-100296,2025-10-11,Yes
SHIP-100297,2025-06-04,Yes
SHIP-100298,2025-04-13,Yes
SHIP-100299,2025-10-31,Yes
SHIP-100300,2025-02-14,Yes
SHIP-100301,2025-06-25,Yes
SHIP-100302,2025-05-22,Yes
SHIP-100303,2025-07-16,Yes
SHIP-100304,2025-08-08,Yes
SHIP-100305,2025-10-07,No
SHIP-100306,2025-08-16,Yes
SHIP-100307,2025-10-31,Yes
SHIP-100308,2025-03-12,Yes
SHIP-100309,2025-02-09,Yes
SHIP-100310,2025-07-06,Yes
SHIP-100311,2025-01-25,Yes
SHIP-100312,2025-01-11,Yes
SHIP-100313,2025-01-29,Yes
SHIP-100314,2025-07-02,Yes
SHIP-100315,2025-05-10,Yes
SHIP-100316,2025-07-20,Yes
SHIP-100317,2025-10-14,Yes
SHIP-100318,2025-06-29,Yes
SHIP-100319,2025-12-22,Yes
SHIP-100320,2025-06-16,Yes
SHIP-100321,2025-10-16,Yes
SHIP-100322,2025-12-05,Yes
SHIP-100323,2025-03-22,Yes
SHIP-100324,2025-01-22,Yes
SHIP-100325,2025-08-05,Yes
SHIP-100326,2025-10-01,Yes
SHIP-100327,2025-11-17,Yes
SHIP-100328,2025-05-09,No
SHIP-100329,2025-08-11,Yes
SHIP-100330,2025-05-23,Yes
SHIP-100331,2025-03-29,Yes
SHIP-100332,2025-02-04,Yes
SHIP-100333,2025-05-27,Yes
SHIP-100334,2025-11-09,Yes
SHIP-100335,2025-08-19,Yes
SHIP-100336,2025-12-30,Yes
SHIP-100337,2025-04-21,Yes
SHIP-100338,2025-11-13,Yes
SHIP-100339,2025-10-24,Yes
SHIP-100340,2025-12-26,Yes
SHIP-100341,2025-10-06,Yes
SHIP-100342,2025-08-19,Yes
SHIP-100343,2025-10-04,Yes
SHIP-100344,2025-04-11,Yes
SHIP-100345,2025-02-09,Yes
SHIP-100346,2025-01-03,Yes
SHIP-100347,2025-12-02,Yes
SHIP-100348,2025-06-07,Yes
SHIP-100349,2025-01-28,Yes
SHIP-100350,2025-02-12,Yes
SHIP-100351,2025-07-13,Yes
SHIP-100352,2025-07-02,Yes
SHIP-100353,2025-07-27,No
SHIP-100354,2025-11-27,Yes
SHIP-100355,2025-07-08,Yes
SHIP-100356,2025-09-26,Yes
SHIP-100357,2025-01-20,Yes
SHIP-100358,2025-01-28,Yes
SHIP-100359,2025-10-14,Yes
SHIP-100360,2025-03-28,Yes
SHIP-100361,2025-01-06,Yes
SHIP-100362,2025-10-10,Yes
SHIP-100363,2025-03-03,No
SHIP-100364,2025-04-28,Yes
SHIP-100365,2025-12-30,Yes
SHIP-100366,2025-07-04,Yes
SHIP-100367,2025-01-09,Yes
SHIP-100368,2025-03-12,Yes
SHIP-100369,2025-02-18,Yes
SHIP-100370,2025-10-29,Yes
SHIP-100371,2025-06-01,Yes
SHIP-100372,2025-06-30,Yes
SHIP-100373,2025-09-17,Yes
SHIP-100374,2025-08-26,Yes
SHIP-100375,2025-07-18,Yes
SHIP-100376,2025-01-30,Yes
SHIP-100377,2025-04-04,Yes
SHIP-100378,2025-12-09,No
SHIP-100379,2025-11-04,Yes
SHIP-100380,2025-04-09,Yes
SHIP-100381,2025-09-23,Yes
SHIP-100382,2025-06-01,Yes
SHIP-100383,2025-09-09,Yes
SHIP-100384,2025-11-15,Yes
SHIP-100385,2025-09-16,Yes
SHIP-100386,2025-03-10,Yes
SHIP-100387,2025-03-24,Yes
SHIP-100388,2025-10-27,Yes
SHIP-100389,2025-01-30,Yes
SHIP-100390,2025-09-30,Yes
SHIP-100391,2025-10-08,Yes
SHIP-100392,2025-01-22,Yes
SHIP-100393,2025-02-12,Yes
SHIP-100394,2025-12-15,Yes
SHIP-100395,2025-11-30,Yes
SHIP-100396,2025-05-22,Yes
SHIP-100397,2025-05-21,No
SHIP-100398,2025-10-18,Yes
SHIP-100399,2025-09-04,Yes
SHIP-100400,2025-07-11,Yes
SHIP-100401,2025-08-14,Yes
SHIP-100402,2025-10-20,Yes
SHIP-100403,2025-12-31,Yes
SHIP-100404,2025-08-19,Yes
SHIP-100405,2025-01-11,Yes
SHIP-100406,2025-03-07,Yes
SHIP-100407,2025-11-29,Yes
SHIP-100408,2025-03-16,Yes
SHIP-100409,2025-01-09,Yes
SHIP-100410,2025-08-23,Yes
SHIP-100411,2025-05-23,Yes
SHIP-100412,2025-04-25,Yes
SHIP-100413,2025-05-19,Yes
SHIP-100414,2025-08-20,Yes
SHIP-100415,2025-05-06,Yes
SHIP-100416,2025-03-10,No
SHIP-100417,2025-07-02,Yes
SHIP-100418,2025-08-13,Yes
SHIP-100419,2025-10-03,Yes
SHIP-100420,2025-05-25,Yes
SHIP-100421,2025-03-15,Yes
SHIP-100422,2025-04-04,Yes
SHIP-100423,2025-03-23,Yes
SHIP-100424,2025-01-04,No
SHIP-100425,2025-10-14,Yes
SHIP-100426,2025-01-06,Yes
SHIP-100427,2025-07-08,Yes
SHIP-100428,2025-07-26,Yes
SHIP-100429,2025-06-18,No
SHIP-100430,2025-05-18,Yes
SHIP-100431,2025-08-20,Yes
SHIP-100432,2025-11-10,Yes
SHIP-100433,2025-04-02,Yes
SHIP-100434,2025-03-31,Yes
SHIP-100435,2025-07-01,Yes
SHIP-100436,2025-01-04,Yes
SHIP-100437,2025-05-19,Yes
SHIP-100438,2025-09-17,Yes
SHIP-100439,2025-10-26,Yes
SHIP-100440,2025-05-08,Yes
SHIP-100441,2025-02-09,Yes
SHIP-100442,2025-05-17,Yes
SHIP-100443,2025-07-12,No
SHIP-100444,2025-10-03,Yes
SHIP-100445,2025-03-07,Yes
SHIP-100446,2025-07-14,Yes
SHIP-100447,2025-07-24,Yes
SHIP-100448,2025-08-10,Yes
SHIP-100449,2025-03-09,Yes
SHIP-100450,2025-07-30,Yes
SHIP-100451,2025-11-13,Yes
SHIP-100452,2025-10-23,Yes
SHIP-100453,2025-11-30,Yes
SHIP-100454,2025-03-29,No
SHIP-100455,2025-01-27,Yes
SHIP-100456,2025-08-02,Yes
SHIP-100457,2025-07-06,Yes
SHIP-100458,2025-11-27,Yes
SHIP-100459,2025-06-09,Yes
SHIP-100460,2025-05-24,Yes
SHIP-100461,2025-04-02,Yes
SHIP-100462,2025-08-09,Yes
SHIP-100463,2025-01-12,Yes
SHIP-100464,2025-04-12,Yes
SHIP-100465,2025-02-08,No
SHIP-100466,2025-10-11,Yes
SHIP-100467,2025-06-04,Yes
SHIP-100468,2025-10-17,Yes
SHIP-100469,2025-03-26,Yes
SHIP-100470,2025-12-30,Yes
SHIP-100471,2025-02-21,No
SHIP-100472,2025-08-28,Yes
SHIP-100473,2025-12-21,Yes
SHIP-100474,2025-10-17,Yes
SHIP-100475,2025-07-26,Yes
SHIP-100476,2025-12-10,Yes
SHIP-100477,2025-11-07,Yes
SHIP-100478,2025-05-08,Yes
SHIP-100479,2025-08-31,Yes
SHIP-100480,2025-02-14,Yes
SHIP-100481,2025-05-28,Yes
SHIP-100482,2025-11-10,No
SHIP-100483,2025-10-10,Yes
SHIP-100484,2025-05-28,Yes
SHIP-100485,2025-06-22,Yes
SHIP-100486,2025-08-17,Yes
SHIP-100487,2025-07-22,Yes
SHIP-100488,2025-11-13,Yes
SHIP-100489,2025-03-04,Yes
SHIP-100490,2025-06-22,Yes
SHIP-100491,2025-09-08,Yes
SHIP-100492,2025-07-30,Yes
SHIP-100493,2025-04-17,No
SHIP-100494,2025-05-13,Yes
SHIP-100495,2025-11-23,Yes
SHIP-100496,2025-12-11,Yes
SHIP-100497,2025-09-01,Yes
SHIP-100498,2025-09-25,Yes
SHIP-100499,2025-09-11,Yes
SHIP-100500,2025-07-24,Yes
SHIP-100501,2025-06-06,Yes
SHIP-100502,2025-09-25,Yes
SHIP-100503,2025-11-10,Yes
SHIP-100504,2025-03-26,Yes
SHIP-100505,2025-07-10,Yes
SHIP-100506,2025-06-24,Yes
SHIP-100507,2025-05-01,Yes
SHIP-100508,2025-04-23,Yes
SHIP-100509,2025-08-18,Yes
SHIP-100510,2025-05-11,Yes
SHIP-100511,2025-02-26,Yes
SHIP-100512,2025-02-14,Yes
SHIP-100513,2025-08-18,Yes
SHIP-100514,2025-01-05,Yes
SHIP-100515,2025-05-22,Yes
SHIP-100516,2025-06-02,Yes
SHIP-100517,2025-12-17,Yes
SHIP-100518,2025-10-30,Yes
SHIP-100519,2025-02-09,Yes
SHIP-100520,2025-03-05,Yes
SHIP-100521,2025-02-05,Yes
SHIP-100522,2025-12-08,Yes
SHIP-100523,2025-10-09,Yes
SHIP-100524,2025-09-30,Yes
SHIP-100525,2025-05-23,Yes
SHIP-100526,2025-06-23,Yes
SHIP-100527,2025-04-11,Yes
SHIP-100528,2025-02-13,Yes
SHIP-100529,2025-09-01,Yes
SHIP-100530,2025-01-28,Yes
SHIP-100531,2025-10-02,Yes
SHIP-100532,2025-06-14,Yes
SHIP-100533,2025-07-13,Yes
SHIP-100534,2025-06-11,Yes
SHIP-100535,2025-03-21,Yes
SHIP-100536,2025-11-17,Yes
SHIP-100537,2025-03-13,Yes
SHIP-100538,2025-07-25,Yes
SHIP-100539,2025-08-07,Yes
SHIP-100540,2025-11-16,Yes
SHIP-100541,2025-12-12,Yes
SHIP-100542,2025-11-10,Yes
SHIP-100543,2025-10-20,Yes
SHIP-100544,2025-03-05,No
SHIP-100545,2025-05-13,Yes
SHIP-100546,2025-10-28,Yes
SHIP-100547,2025-09-24,Yes
SHIP-100548,2025-07-23,Yes
SHIP-100549,2025-09-24,Yes
SHIP-100550,2025-05-22,Yes
SHIP-100551,2025-06-22,Yes
SHIP-100552,2025-11-11,Yes
SHIP-100553,2025-05-14,Yes
SHIP-100554,2025-03-27,Yes
SHIP-100555,2025-04-29,No
SHIP-100556,2025-05-06,Yes
SHIP-100557,2025-04-27,Yes
SHIP-100558,2025-11-30,Yes
SHIP-100559,2025-04-12,Yes
SHIP-100560,2025-07-31,Yes
SHIP-100561,2025-09-19,Yes
SHIP-100562,2025-05-18,Yes
SHIP-100563,2025-12-08,Yes
SHIP-100564,2025-08-18,Yes
SHIP-100565,2025-06-09,Yes
SHIP-100566,2025-08-11,Yes
SHIP-100567,2025-11-09,Yes
SHIP-100568,2025-05-21,Yes
SHIP-100569,2025-07-15,Yes
SHIP-100570,2025-05-11,Yes
SHIP-100571,2025-02-10,Yes
SHIP-100572,2025-06-28,Yes
SHIP-100573,2025-06-27,Yes
SHIP-100574,2025-12-30,Yes
SHIP-100575,2025-11-10,Yes
SHIP-100576,2025-05-13,Yes
SHIP-100577,2025-07-16,Yes
SHIP-100578,2025-10-01,Yes
SHIP-100579,2025-09-18,Yes
SHIP-100580,2025-11-25,Yes
SHIP-100581,2025-04-13,Yes
SHIP-100582,2025-04-08,Yes
SHIP-100583,2025-11-08,Yes
SHIP-100584,2025-03-23,Yes
SHIP-100585,2025-01-17,Yes
SHIP-100586,2025-11-12,Yes
SHIP-100587,2025-02-03,Yes
SHIP-100588,2025-05-09,Yes
SHIP-100589,2025-12-07,Yes
SHIP-100590,2025-11-14,Yes
SHIP-100591,2025-06-14,Yes
SHIP-100592,2025-07-22,Yes
SHIP-100593,2025-08-24,Yes
SHIP-100594,2025-02-08,Yes
SHIP-100595,2025-03-12,Yes
SHIP-100596,2025-08-19,Yes
SHIP-100597,2025-10-03,Yes
SHIP-100598,2025-01-15,Yes
SHIP-100599,2025-07-30,Yes
SHIP-100600,2025-10-22,Yes
SHIP-100601,2025-07-15,Yes
SHIP-100602,2025-01-20,Yes
SHIP-100603,2025-05-25,Yes
SHIP-100604,2025-06-24,Yes
SHIP-100605,2025-05-11,Yes
SHIP-100606,2025-06-08,No
SHIP-100607,2025-06-11,Yes
SHIP-100608,2025-11-12,Yes
SHIP-100609,2025-06-14,Yes
SHIP-100610,2025-10-05,Yes
SHIP-100611,2025-02-07,No
SHIP-100612,2025-09-16,Yes
SHIP-100613,2025-11-11,Yes
SHIP-100614,2025-01-25,Yes
SHIP-100615,2025-03-10,Yes
SHIP-100616,2025-04-17,Yes
SHIP-100617,2025-12-05,Yes
SHIP-100618,2025-02-19,Yes
SHIP-100619,2025-06-26,Yes
SHIP-100620,2025-02-22,Yes
SHIP-100621,2025-08-22,Yes
SHIP-100622,2025-03-06,Yes
SHIP-100623,2025-07-24,Yes
SHIP-100624,2025-11-09,Yes
SHIP-100625,2025-09-23,Yes
SHIP-100626,2025-01-16,Yes
SHIP-100627,2025-02-21,Yes
SHIP-100628,2025-08-04,Yes
SHIP-100629,2025-02-06,Yes
SHIP-100630,2025-08-27,Yes
SHIP-100631,2025-08-10,Yes
SHIP-100632,2025-08-01,Yes
SHIP-100633,2025-10-31,Yes
SHIP-100634,2025-07-02,Yes
SHIP-100635,2025-05-01,Yes
SHIP-100636,2025-06-18,Yes
SHIP-100637,2025-04-13,Yes
SHIP-100638,2025-12-12,Yes
SHIP-100639,2025-12-28,Yes
SHIP-100640,2025-08-12,Yes
SHIP-100641,2025-12-24,Yes
SHIP-100642,2025-12-25,Yes
SHIP-100643,2025-03-13,Yes
SHIP-100644,2025-05-12,Yes
SHIP-100645,2025-04-17,No
SHIP-100646,2025-10-15,Yes
SHIP-100647,2025-02-12,Yes
SHIP-100648,2025-05-16,Yes
SHIP-100649,2025-03-14,Yes
SHIP-100650,2025-12-22,Yes
SHIP-100651,2025-03-31,Yes
SHIP-100652,2025-12-01,Yes
SHIP-100653,2025-03-20,Yes
SHIP-100654,2025-03-23,Yes
SHIP-100655,2025-02-21,Yes
SHIP-100656,2025-08-10,Yes
SHIP-100657,2025-10-21,Yes
SHIP-100658,2025-10-15,Yes
SHIP-100659,2025-12-25,Yes
SHIP-100660,2025-10-17,No
SHIP-100661,2025-09-30,Yes
SHIP-100662,2025-01-26,Yes
SHIP-100663,2025-03-26,Yes
SHIP-100664,2025-02-13,Yes
SHIP-100665,2025-07-08,Yes
SHIP-100666,2025-11-21,Yes
SHIP-100667,2026-01-03,Yes
SHIP-100668,2025-07-15,Yes
SHIP-100669,2025-01-08,Yes
SHIP-100670,2025-04-19,Yes
SHIP-100671,2025-04-04,Yes
SHIP-100672,2025-04-24,No
SHIP-100673,2025-01-22,Yes
SHIP-100674,2025-04-28,Yes
SHIP-100675,2025-08-27,Yes
SHIP-100676,2025-04-13,Yes
SHIP-100677,2025-05-29,Yes
SHIP-100678,2025-05-18,Yes
SHIP-100679,2025-01-31,Yes
SHIP-100680,2025-06-25,Yes
SHIP-100681,2025-12-27,Yes
SHIP-100682,2025-07-10,Yes
SHIP-100683,2025-01-23,Yes
SHIP-100684,2025-12-31,Yes
SHIP-100685,2025-02-26,Yes
SHIP-100686,2025-02-13,No
SHIP-100687,2025-08-23,Yes
SHIP-100688,2025-09-24,Yes
SHIP-100689,2025-01-28,Yes
SHIP-100690,2025-06-11,Yes
SHIP-100691,2025-11-24,Yes
SHIP-100692,2025-02-10,Yes
SHIP-100693,2025-12-15,No
SHIP-100694,2025-11-19,Yes
SHIP-100695,2025-05-20,Yes
SHIP-100696,2025-02-23,Yes
SHIP-100697,2025-08-23,No
SHIP-100698,2025-09-02,Yes
SHIP-100699,2025-12-19,Yes
SHIP-100700,2025-10-29,Yes
SHIP-100701,2025-11-23,Yes
SHIP-100702,2025-01-05,Yes
SHIP-100703,2025-02-07,Yes
SHIP-100704,2025-02-26,Yes
SHIP-100705,2025-05-07,Yes
SHIP-100706,2025-05-19,Yes
SHIP-100707,2025-11-28,No
SHIP-100708,2025-08-23,Yes
SHIP-100709,2025-12-14,Yes
SHIP-100710,2025-12-01,Yes
SHIP-100711,2025-03-18,Yes
SHIP-100712,2025-07-11,Yes
SHIP-100713,2025-10-10,Yes
SHIP-100714,2025-10-09,Yes
SHIP-100715,2025-02-13,Yes
SHIP-100716,2025-04-26,Yes
SHIP-100717,2025-08-14,Yes
SHIP-100718,2025-07-05,Yes
SHIP-100719,2025-04-10,Yes
SHIP-100720,2025-10-26,Yes
SHIP-100721,2025-04-03,Yes
SHIP-100722,2025-08-27,Yes
SHIP-100723,2025-03-12,Yes
SHIP-100724,2025-12-20,Yes
SHIP-100725,2025-03-30,Yes
SHIP-100726,2025-03-28,Yes
SHIP-100727,2025-05-18,Yes
SHIP-100728,2025-05-20,Yes
SHIP-100729,2025-08-23,Yes
SHIP-100730,2025-06-21,Yes
SHIP-100731,2025-11-24,Yes
SHIP-100732,2025-02-06,Yes
SHIP-100733,2025-06-06,Yes
SHIP-100734,2025-01-11,Yes
SHIP-100735,2025-12-08,Yes
SHIP-100736,2025-05-05,Yes
SHIP-100737,2025-04-23,No
SHIP-100738,2025-04-18,Yes
