Shipment ID,Business Unit,SCAC Code,Shipment Date,Requested Delivery Date,Actual Delivery Date,Late Reason
SHIP-100035,Business Unit A,CHRW,2025-05-10,2025-05-14,2025-05-14,None
SHIP-100036,Business Unit B,MAEU,2025-08-08,2025-08-12,2025-08-12,None
SHIP-100037,Business Unit A,KNIN,2025-12-16,2025-12-21,2025-12-20,None
SHIP-100038,Business Unit A,CHRW,2025-03-28,2025-03-30,2025-03-30,None
SHIP-100039,Business Unit B,KNIN,2025-10-31,2025-11-02,2025-11-02,None
SHIP-100040,Business Unit A,EXPD,2025-09-11,2025-09-15,2025-09-14,None
SHIP-100041,Business Unit B,CHRW,2025-01-05,2025-01-09,2025-01-09,None
SHIP-100042,Business Unit A,KNIN,2025-09-23,2025-09-26,2025-09-27,late pick
SHIP-100043,Business Unit A,JBHT,2025-06-30,2025-07-03,2025-07-02,None
SHIP-100044,Business Unit B,KNIN,2025-11-05,2025-11-09,2025-11-10,weather
SHIP-100045,Business Unit A,KNIN,2025-08-21,2025-08-24,2025-08-24,None
SHIP-100046,Business Unit A,KNIN,2025-12-08,2025-12-11,2025-12-12,late pick
SHIP-100047,Business Unit B,EXPD,2025-10-29,2025-11-01,2025-10-31,None
SHIP-100048,Business Unit A,CHRW,2025-02-14,2025-02-17,2025-02-16,None
SHIP-100049,Business Unit B,JBHT,2025-02-18,2025-02-23,2025-02-23,None
SHIP-100050,Business Unit B,CHRW,2025-11-06,2025-11-09,2025-11-09,None
SHIP-100051,Business Unit B,KNIN,2025-01-17,2025-01-22,2025-01-21,None
SHIP-100052,Business Unit B,JBHT,2025-06-28,2025-07-02,2025-07-01,None
SHIP-100053,Business Unit B,KNIN,2025-05-16,2025-05-20,2025-05-20,None
SHIP-100054,Business Unit B,MAEU,2025-01-27,2025-01-30,2025-01-30,None
SHIP-100055,Business Unit A,KNIN,2025-09-20,2025-09-23,2025-09-23,None
SHIP-100056,Business Unit B,JBHT,2025-03-01,2025-03-03,2025-03-02,None
SHIP-100057,Business Unit A,EXPD,2025-11-11,2025-11-16,2025-11-15,None
SHIP-100058,Business Unit A,MAEU,2025-09-15,2025-09-18,2025-09-18,None
SHIP-100059,Business Unit A,KNIN,2025-12-05,2025-12-10,2025-12-10,None
SHIP-100060,Business Unit B,KNIN,2025-05-17,2025-05-19,2025-05-18,None
SHIP-100061,Business Unit A,JBHT,2025-02-26,2025-03-02,2025-03-01,None
SHIP-100062,Business Unit A,MAEU,2025-03-01,2025-03-04,2025-03-03,None
SHIP-100063,Business Unit B,KNIN,2025-12-08,2025-12-12,2025-12-12,None
SHIP-100064,Business Unit B,CHRW,2025-08-30,2025-09-02,2025-09-02,None
SHIP-100065,Business Unit B,KNIN,2025-12-20,2025-12-24,2025-12-23,None
SHIP-100066,Business Unit B,CHRW,2025-07-19,2025-07-24,2025-07-23,None
SHIP-100067,Business Unit B,KNIN,2025-10-27,2025-11-01,2025-10-31,None
SHIP-100068,Business Unit A,KNIN,2025-01-23,2025-01-27,2025-01-26,None
SHIP-100069,Business Unit A,MAEU,2025-05-09,2025-05-11,2025-05-10,None
SHIP-100070,Business Unit B,CHRW,2025-07-09,2025-07-13,2025-07-13,None
SHIP-100071,Business Unit A,MAEU,2025-04-26,2025-04-29,2025-04-28,None
SHIP-100072,Business Unit A,EXPD,2025-10-02,2025-10-06,2025-10-06,None
SHIP-100073,Business Unit A,JBHT,2025-08-22,2025-08-26,2025-08-26,None
SHIP-100074,Business Unit A,MAEU,2025-03-05,2025-03-07,2025-03-08,traffic
SHIP-100075,Business Unit A,EXPD,2025-03-18,2025-03-21,2025-03-21,None
SHIP-100076,Business Unit A,EXPD,2025-09-19,2025-09-21,2025-09-21,None
SHIP-100077,Business Unit A,MAEU,2025-05-06,2025-05-11,2025-05-11,None
SHIP-100078,Business Unit B,JBHT,2025-06-20,2025-06-23,2025-06-23,None
SHIP-100079,Business Unit A,JBHT,2025-08-30,2025-09-02,2025-09-02,None
SHIP-100080,Business Unit B,MAEU,2025-08-11,2025-08-14,2025-08-14,None
SHIP-100081,Business Unit A,EXPD,2025-08-24,2025-08-27,2025-08-26,None
SHIP-100082,Business Unit A,CHRW,2025-01-28,2025-02-01,2025-01-31,None
SHIP-100083,Business Unit B,KNIN,2025-04-07,2025-04-12,2025-04-15,consignee reschedule
SHIP-100084,Business Unit A,CHRW,2025-12-12,2025-12-15,2025-12-16,weather
SHIP-100085,Business Unit A,JBHT,2025-08-25,2025-08-28,2025-08-27,None
SHIP-100086,Business Unit A,KNIN,2025-06-28,2025-07-02,2025-07-02,None
SHIP-100087,Business Unit B,MAEU,2025-01-06,2025-01-10,2025-01-12,late pick
SHIP-100088,Business Unit A,KNIN,2025-02-08,2025-02-12,2025-02-12,None
SHIP-100089,Business Unit B,CHRW,2025-05-25,2025-05-28,2025-05-27,None
SHIP-100090,Business Unit A,EXPD,2025-02-03,2025-02-08,2025-02-07,None
SHIP-100091,Business Unit B,KNIN,2025-01-04,2025-01-09,2025-01-09,None
SHIP-100092,Business Unit A,EXPD,2025-10-17,2025-10-19,2025-10-19,None
SHIP-100093,Business Unit B,JBHT,2025-04-12,2025-04-14,2025-04-13,None
SHIP-100094,Business Unit A,EXPD,2025-02-16,2025-02-18,2025-02-17,None
SHIP-100095,Business Unit A,KNIN,2025-03-31,2025-04-05,2025-04-04,None
SHIP-100096,Business Unit B,MAEU,2025-01-04,2025-01-07,2025-01-06,None
SHIP-100097,Business Unit B,CHRW,2025-09-09,2025-09-11,2025-09-11,None
SHIP-100098,Business Unit B,JBHT,2025-05-04,2025-05-06,2025-05-09,late pick
SHIP-100099,Business Unit A,JBHT,2025-07-11,2025-07-16,2025-07-15,None
SHIP-100100,Business Unit A,JBHT,2025-11-24,2025-11-29,2025-11-28,None
SHIP-100101,Business Unit A,CHRW,2025-10-21,2025-10-24,2025-10-24,None
SHIP-100102,Business Unit B,MAEU,2025-11-17,2025-11-21,2025-11-20,None
SHIP-100103,Business Unit B,KNIN,2025-11-15,2025-11-18,2025-11-18,None
SHIP-100104,Business Unit A,KNIN,2025-08-20,2025-08-25,2025-08-24,None
SHIP-100105,Business Unit A,CHRW,2025-04-26,2025-04-29,2025-04-29,None
SHIP-100106,Business Unit A,KNIN,2025-01-14,2025-01-17,2025-01-19,traffic
SHIP-100107,Business Unit B,MAEU,2025-03-28,2025-03-31,2025-03-30,None
SHIP-100108,Business Unit B,JBHT,2025-02-01,2025-02-05,2025-02-05,None
SHIP-100109,Business Unit A,JBHT,2025-04-10,2025-04-15,2025-04-14,None
SHIP-100110,Business Unit B,MAEU,2025-04-03,2025-04-08,2025-04-07,None
SHIP-100111,Business Unit A,MAEU,2025-01-17,2025-01-19,2025-01-19,None
SHIP-100112,Business Unit B,EXPD,2025-01-01,2025-01-05,2025-01-05,None
SHIP-100113,Business Unit B,EXPD,2025-08-18,2025-08-23,2025-08-22,None
SHIP-100114,Business Unit A,JBHT,2025-04-30,2025-05-05,2025-05-05,None
SHIP-100115,Business Unit B,CHRW,2025-11-18,2025-11-23,2025-11-23,None
SHIP-100116,Business Unit B,JBHT,2025-04-30,2025-05-03,2025-05-02,None
SHIP-100117,Business Unit B,MAEU,2025-06-26,2025-06-29,2025-06-28,None
SHIP-100118,Business Unit A,JBHT,2025-09-16,2025-09-21,2025-09-21,None
SHIP-100119,Business Unit A,KNIN,2025-12-14,2025-12-18,2025-12-18,None
SHIP-100120,Business Unit A,JBHT,2025-05-07,2025-05-09,2025-05-08,None
SHIP-100121,Business Unit B,KNIN,2025-05-30,2025-06-04,2025-06-04,None
SHIP-100122,Business Unit B,CHRW,2025-11-17,2025-11-19,2025-11-18,None
SHIP-100123,Business Unit A,CHRW,2025-12-13,2025-12-18,2025-12-18,None
SHIP-100124,Business Unit B,CHRW,2025-04-04,2025-04-06,2025-04-06,None
SHIP-100125,Business Unit B,EXPD,2025-10-01,2025-10-03,2025-10-02,None
SHIP-100126,Business Unit B,MAEU,2025-08-25,2025-08-30,2025-08-29,None
SHIP-100127,Business Unit B,JBHT,2025-08-17,2025-08-19,2025-08-19,None
SHIP-100128,Business Unit B,KNIN,2025-01-23,2025-01-25,2025-01-24,None
SHIP-100129,Business Unit B,CHRW,2025-03-13,2025-03-15,2025-03-14,None
SHIP-100130,Business Unit A,MAEU,2025-09-01,2025-09-04,2025-09-03,None
SHIP-100131,Business Unit B,EXPD,2025-11-21,2025-11-23,2025-11-22,None
SHIP-100132,Business Unit B,KNIN,2025-06-24,2025-06-28,2025-06-27,None
SHIP-100133,Business Unit B,CHRW,2025-02-04,2025-02-06,2025-02-06,None
SHIP-100134,Business Unit A,MAEU,2025-09-29,2025-10-03,2025-10-02,None
SHIP-100135,Business Unit A,KNIN,2025-04-01,2025-04-05,2025-04-04,None
SHIP-100136,Business Unit A,KNIN,2025-12-09,2025-12-11,2025-12-10,None
SHIP-100137,Business Unit A,CHRW,2025-12-01,2025-12-04,2025-12-07,late pick
SHIP-100138,Business Unit B,JBHT,2025-04-11,2025-04-16,2025-04-15,None
SHIP-100139,Business Unit A,JBHT,2025-04-06,2025-04-09,2025-04-08,None
SHIP-100140,Business Unit B,KNIN,2025-04-27,2025-04-30,2025-04-29,None
SHIP-100141,Business Unit A,KNIN,2025-03-31,2025-04-05,2025-04-04,None
SHIP-100142,Business Unit A,JBHT,2025-03-14,2025-03-16,2025-03-16,None
SHIP-100143,Business Unit B,JBHT,2025-06-07,2025-06-11,2025-06-11,None
SHIP-100144,Business Unit A,KNIN,2025-04-10,2025-04-13,2025-04-13,None
SHIP-100145,Business Unit A,MAEU,2025-07-01,2025-07-04,2025-07-03,None
SHIP-100146,Business Unit B,MAEU,2025-05-12,2025-05-14,2025-05-13,None
SHIP-100147,Business Unit A,KNIN,2025-10-02,2025-10-06,2025-10-05,None
SHIP-100148,Business Unit B,JBHT,2025-03-25,2025-03-29,2025-03-29,None
SHIP-100149,Business Unit A,KNIN,2025-01-17,2025-01-20,2025-01-20,None
SHIP-100150,Business Unit B,KNIN,2025-08-07,2025-08-09,2025-08-08,None
SHIP-100151,Business Unit B,JBHT,2025-06-24,2025-06-27,2025-06-27,None
SHIP-100152,Business Unit A,EXPD,2025-08-22,2025-08-25,2025-08-25,None
SHIP-100153,Business Unit A,EXPD,2025-07-28,2025-08-01,2025-08-01,None
SHIP-100154,Business Unit B,CHRW,2025-12-11,2025-12-14,2025-12-13,None
SHIP-100155,Business Unit B,KNIN,2025-09-11,2025-09-15,2025-09-15,None
SHIP-100156,Business Unit B,MAEU,2025-09-11,2025-09-14,2025-09-14,None
SHIP-100157,Business Unit B,JBHT,2025-02-23,2025-02-26,2025-02-26,None
SHIP-100158,Business Unit A,KNIN,2025-04-21,2025-04-25,2025-04-24,None
SHIP-100159,Business Unit A,CHRW,2025-05-15,2025-05-17,2025-05-17,None
SHIP-100160,Business Unit B,EXPD,2025-10-15,2025-10-19,2025-10-19,None
SHIP-100161,Business Unit A,MAEU,2025-05-09,2025-05-11,2025-05-10,None
SHIP-100162,Business Unit A,MAEU,2025-04-19,2025-04-22,2025-04-21,None
SHIP-100163,Business Unit B,CHRW,2025-07-17,2025-07-21,2025-07-23,late pick
SHIP-100164,Business Unit B,CHRW,2025-07-28,2025-08-02,2025-08-01,None
SHIP-100165,Business Unit B,JBHT,2025-02-22,2025-02-24,2025-02-23,None
SHIP-100166,Business Unit B,JBHT,2025-03-13,2025-03-17,2025-03-16,None
SHIP-100167,Business Unit A,CHRW,2025-10-21,2025-10-25,2025-10-25,None
SHIP-100168,Business Unit B,KNIN,2025-08-21,2025-08-23,2025-08-22,None
SHIP-100169,Business Unit B,EXPD,2025-10-13,2025-10-16,2025-10-16,None
SHIP-100170,Business Unit A,JBHT,2025-08-19,2025-08-22,2025-08-22,None
SHIP-100171,Business Unit B,MAEU,2025-09-22,2025-09-26,2025-09-25,None
SHIP-100172,Business Unit B,EXPD,2025-02-02,2025-02-06,2025-02-05,None
SHIP-100173,Business Unit B,CHRW,2025-04-28,2025-05-02,2025-05-02,None
SHIP-100174,Business Unit A,KNIN,2025-09-27,2025-10-02,2025-10-01,None
SHIP-100175,Business Unit A,KNIN,2025-04-19,2025-04-24,2025-04-23,None
SHIP-100176,Business Unit A,EXPD,2025-11-14,2025-11-19,2025-11-18,None
SHIP-100177,Business Unit B,JBHT,2025-05-25,2025-05-30,2025-05-30,None
SHIP-100178,Business Unit A,EXPD,2025-02-14,2025-02-18,2025-02-17,None
SHIP-100179,Business Unit B,JBHT,2025-03-22,2025-03-25,2025-03-24,None
SHIP-100180,Business Unit B,MAEU,2025-08-01,2025-08-06,2025-08-05,None
SHIP-100181,Business Unit A,KNIN,2025-12-12,2025-12-14,2025-12-14,None
SHIP-100182,Business Unit B,MAEU,2025-04-04,2025-04-08,2025-04-10,traffic
SHIP-100183,Business Unit B,MAEU,2025-08-07,2025-08-12,2025-08-12,None
SHIP-100184,Business Unit A,KNIN,2025-02-05,2025-02-09,2025-02-08,None
SHIP-100185,Business Unit B,EXPD,2025-10-13,2025-10-17,2025-10-16,None
SHIP-100186,Business Unit B,EXPD,2025-12-08,2025-12-12,2025-12-12,None
SHIP-100187,Business Unit A,MAEU,2025-03-10,2025-03-12,2025-03-11,None
SHIP-100188,Business Unit A,KNIN,2025-05-13,2025-05-15,2025-05-15,None
SHIP-100189,Business Unit A,EXPD,2025-08-26,2025-08-31,2025-08-30,None
SHIP-100190,Business Unit A,MAEU,2025-03-01,2025-03-06,2025-03-08,carrier delay
SHIP-100191,Business Unit B,JBHT,2025-11-30,2025-12-05,2025-12-04,None
SHIP-100192,Business Unit A,EXPD,2025-05-26,2025-05-30,2025-05-30,None
SHIP-100193,Business Unit B,KNIN,2025-08-09,2025-08-11,2025-08-13,carrier delay
SHIP-100194,Business Unit A,JBHT,2025-01-23,2025-01-25,2025-01-24,None
SHIP-100195,Business Unit B,CHRW,2025-01-22,2025-01-26,2025-01-25,None
SHIP-100196,Business Unit B,MAEU,2025-10-13,2025-10-18,2025-10-18,None
SHIP-100197,Business Unit B,JBHT,2025-07-17,2025-07-22,2025-07-25,consignee reschedule
SHIP-100198,Business Unit A,MAEU,2025-10-04,2025-10-06,2025-10-06,None
SHIP-100199,Business Unit B,KNIN,2025-11-01,2025-11-03,2025-11-02,None
SHIP-100200,Business Unit A,MAEU,2025-01-11,2025-01-15,2025-01-14,None
SHIP-100201,Business Unit B,EXPD,2025-05-02,2025-05-06,2025-05-09,carrier delay
SHIP-100202,Business Unit A,CHRW,2025-02-19,2025-02-24,2025-02-23,None
SHIP-100203,Business Unit A,MAEU,2025-05-22,2025-05-25,2025-05-25,None
SHIP-100204,Business Unit B,CHRW,2025-07-22,2025-07-24,2025-07-23,None
SHIP-100205,Business Unit A,CHRW,2025-03-07,2025-03-12,2025-03-12,None
SHIP-100206,Business Unit A,KNIN,2025-05-17,2025-05-20,2025-05-20,None
SHIP-100207,Business Unit B,EXPD,2025-10-17,2025-10-22,2025-10-24,late pick
SHIP-100208,Business Unit A,KNIN,2025-05-18,2025-05-20,2025-05-20,None
SHIP-100209,Business Unit A,CHRW,2025-10-09,2025-10-13,2025-10-14,traffic
SHIP-100210,Business Unit B,CHRW,2025-07-16,2025-07-20,2025-07-20,None
SHIP-100211,Business Unit A,KNIN,2025-01-22,2025-01-25,2025-01-24,None
SHIP-100212,Business Unit A,KNIN,2025-10-23,2025-10-27,2025-10-27,None
SHIP-100213,Business Unit A,EXPD,2025-08-24,2025-08-29,2025-08-28,None
SHIP-100214,Business Unit B,JBHT,2025-03-25,2025-03-28,2025-03-28,None
SHIP-100215,Business Unit A,MAEU,2025-08-09,2025-08-11,2025-08-13,weather
SHIP-100216,Business Unit A,CHRW,2025-07-21,2025-07-24,2025-07-23,None
SHIP-100217,Business Unit B,MAEU,2025-03-30,2025-04-04,2025-04-04,None
SHIP-100218,Business Unit A,KNIN,2025-08-24,2025-08-28,2025-08-27,None
SHIP-100219,Business Unit A,CHRW,2025-04-20,2025-04-24,2025-04-23,None
SHIP-100220,Business Unit A,JBHT,2025-01-15,2025-01-17,2025-01-17,None
SHIP-100221,Business Unit A,EXPD,2025-01-21,2025-01-24,2025-01-23,None
SHIP-100222,Business Unit A,CHRW,2025-03-05,2025-03-10,2025-03-09,None
SHIP-100223,Business Unit B,JBHT,2025-05-27,2025-05-29,2025-05-29,None
SHIP-100224,Business Unit A,CHRW,2025-11-20,2025-11-23,2025-11-23,None
SHIP-100225,Business Unit A,JBHT,2025-06-21,2025-06-25,2025-06-25,None
SHIP-100226,Business Unit A,CHRW,2025-02-07,2025-02-09,2025-02-09,None
SHIP-100227,Business Unit A,KNIN,2025-06-28,2025-06-30,2025-06-29,None
SHIP-100228,Business Unit A,JBHT,2025-06-23,2025-06-28,2025-06-28,None
SHIP-100229,Business Unit B,EXPD,2025-08-30,2025-09-03,2025-09-03,None
SHIP-100230,Business Unit B,EXPD,2025-02-27,2025-03-02,2025-03-01,None
SHIP-100231,Business Unit A,JBHT,2025-10-23,2025-10-28,2025-10-28,None
SHIP-100232,Business Unit A,MAEU,2025-06-07,2025-06-12,2025-06-11,None
SHIP-100233,Business Unit A,CHRW,2025-12-21,2025-12-24,2025-12-23,None
SHIP-100234,Business Unit A,JBHT,2025-02-16,2025-02-20,2025-02-19,None
SHIP-100235,Business Unit A,CHRW,2025-06-23,2025-06-25,2025-06-26,carrier delay
SHIP-100236,Business Unit B,KNIN,2025-02-25,2025-02-27,2025-02-26,None
SHIP-100237,Business Unit B,JBHT,2025-06-08,2025-06-11,2025-06-13,equipment failure
SHIP-100238,Business Unit B,KNIN,2025-03-30,2025-04-03,2025-04-02,None
SHIP-100239,Business Unit B,JBHT,2025-11-11,2025-11-14,2025-11-17,weather
SHIP-100240,Business Unit A,CHRW,2025-08-09,2025-08-11,2025-08-11,None
SHIP-100241,Business Unit A,MAEU,2025-10-17,2025-10-22,2025-10-21,None
SHIP-100242,Business Unit A,JBHT,2025-12-28,2025-12-31,2025-12-31,None
SHIP-100243,Business Unit A,KNIN,2025-07-10,2025-07-12,2025-07-11,None
SHIP-100244,Business Unit A,CHRW,2025-03-01,2025-03-03,2025-03-02,None
SHIP-100245,Business Unit B,EXPD,2025-05-17,2025-05-20,2025-05-20,None
SHIP-100246,Business Unit A,EXPD,2025-05-09,2025-05-11,2025-05-10,None
SHIP-100247,Business Unit B,KNIN,2025-09-25,2025-09-30,2025-10-01,carrier delay
SHIP-100248,Business Unit A,MAEU,2025-09-18,2025-09-23,2025-09-23,None
SHIP-100249,Business Unit A,MAEU,2025-02-08,2025-02-13,2025-02-13,None
SHIP-100250,Business Unit B,JBHT,2025-03-13,2025-03-15,2025-03-16,traffic
SHIP-100251,Business Unit A,KNIN,2025-04-11,2025-04-13,2025-04-12,None
SHIP-100252,Business Unit A,JBHT,2025-04-25,2025-04-30,2025-04-29,None
SHIP-100253,Business Unit B,JBHT,2025-05-23,2025-05-25,2025-05-25,None
SHIP-100254,Business Unit A,CHRW,2025-06-14,2025-06-16,2025-06-16,None
SHIP-100255,Business Unit B,JBHT,2025-09-26,2025-09-29,2025-09-29,None
SHIP-100256,Business Unit B,KNIN,2025-07-01,2025-07-06,2025-07-06,None
SHIP-100257,Business Unit B,CHRW,2025-01-25,2025-01-29,2025-01-30,weather
SHIP-100258,Business Unit A,MAEU,2025-06-17,2025-06-21,2025-06-20,None
SHIP-100259,Business Unit B,JBHT,2025-08-07,2025-08-11,2025-08-11,None
SHIP-100260,Business Unit B,EXPD,2025-09-07,2025-09-10,2025-09-10,None
SHIP-100261,Business Unit A,CHRW,2025-05-24,2025-05-27,2025-05-27,None
SHIP-100262,Business Unit B,KNIN,2025-12-21,2025-12-26,2025-12-25,None
SHIP-100263,Business Unit A,EXPD,2025-08-04,2025-08-08,2025-08-08,None
SHIP-100264,Business Unit A,CHRW,2025-08-03,2025-08-06,2025-08-05,None
SHIP-100265,Business Unit B,EXPD,2025-12-24,2025-12-29,2025-12-29,None
SHIP-100266,Business Unit B,KNIN,2025-12-05,2025-12-07,2025-12-07,None
SHIP-100267,Business Unit B,JBHT,2025-10-27,2025-10-31,2025-10-30,None
SHIP-100268,Business Unit A,MAEU,2025-05-07,2025-05-11,2025-05-11,None
SHIP-100269,Business Unit B,MAEU,2025-07-09,2025-07-12,2025-07-12,None
SHIP-100270,Business Unit A,CHRW,2025-12-20,2025-12-23,2025-12-22,None
SHIP-100271,Business Unit B,JBHT,2025-06-11,2025-06-15,2025-06-15,None
SHIP-100272,Business Unit A,MAEU,2025-04-11,2025-04-16,2025-04-17,carrier delay
SHIP-100273,Business Unit B,EXPD,2025-03-11,2025-03-16,2025-03-16,None
SHIP-100274,Business Unit A,JBHT,2025-06-04,2025-06-07,2025-06-06,None
SHIP-100275,Business Unit B,MAEU,2025-02-28,2025-03-03,2025-03-02,None
SHIP-100276,Business Unit A,JBHT,2025-03-18,2025-03-22,2025-03-21,None
SHIP-100277,Business Unit B,MAEU,2025-04-08,2025-04-12,2025-04-12,None
SHIP-100278,Business Unit B,JBHT,2025-08-01,2025-08-06,2025-08-09,carrier delay
SHIP-100279,Business Unit A,KNIN,2025-07-26,2025-07-31,2025-08-01,late pick
SHIP-100280,Business Unit B,JBHT,2025-04-23,2025-04-25,2025-04-24,None
SHIP-100281,Business Unit B,CHRW,2025-07-09,2025-07-14,2025-07-13,None
SHIP-100282,Business Unit A,CHRW,2025-02-03,2025-02-06,2025-02-09,carrier delay
SHIP-100283,Business Unit B,CHRW,2025-05-31,2025-06-02,2025-06-02,None
SHIP-100284,Business Unit A,JBHT,2025-10-07,2025-10-11,2025-10-10,None
SHIP-100285,Business Unit A,JBHT,2025-05-15,2025-05-17,2025-05-17,None
SHIP-100286,Business Unit B,EXPD,2025-08-20,2025-08-25,2025-08-24,None
SHIP-100287,Business Unit A,JBHT,2025-03-16,2025-03-18,2025-03-17,None
SHIP-100288,Business Unit B,JBHT,2025-11-08,2025-11-10,2025-11-09,None
SHIP-100289,Business Unit A,JBHT,2025-07-13,2025-07-18,2025-07-18,None
SHIP-100290,Business Unit B,MAEU,2025-12-16,2025-12-19,2025-12-21,equipment failure
SHIP-100291,Business Unit A,JBHT,2025-10-03,2025-10-06,2025-10-06,None
SHIP-100292,Business Unit B,MAEU,2025-12-15,2025-12-18,2025-12-17,None
SHIP-100293,Business Unit A,KNIN,2025-01-13,2025-01-16,2025-01-15,None
SHIP-100294,Business Unit A,CHRW,2026-01-01,2026-01-06,2026-01-06,None
SHIP-100295,Business Unit B,EXPD,2025-07-12,2025-07-14,2025-07-14,None
SHIP-100296,Business Unit B,JBHT,2025-10-07,2025-10-12,2025-10-11,None
SHIP-100297,Business Unit A,KNIN,2025-06-02,2025-06-04,2025-06-04,None
SHIP-100298,Business Unit B,CHRW,2025-04-10,2025-04-13,2025-04-13,None
SHIP-100299,Business Unit A,MAEU,2025-10-26,2025-10-30,2025-10-31,late pick
SHIP-100300,Business Unit A,MAEU,2025-02-10,2025-02-14,2025-02-14,None
SHIP-100301,Business Unit B,CHRW,2025-06-22,2025-06-26,2025-06-25,None
SHIP-100302,Business Unit A,EXPD,2025-05-19,2025-05-23,2025-05-22,None
SHIP-100303,Business Unit B,EXPD,2025-07-12,2025-07-16,2025-07-16,None
SHIP-100304,Business Unit A,EXPD,2025-08-06,2025-08-09,2025-08-08,None
SHIP-100305,Business Unit B,CHRW,2025-10-05,2025-10-07,2025-10-07,None
SHIP-100306,Business Unit A,MAEU,2025-08-13,2025-08-17,2025-08-16,None
SHIP-100307,Business Unit B,CHRW,2025-10-28,2025-10-31,2025-10-31,None
SHIP-100308,Business Unit B,EXPD,2025-03-08,2025-03-12,2025-03-12,None
SHIP-100309,Business Unit B,MAEU,2025-02-08,2025-02-10,2025-02-09,None
SHIP-100310,Business Unit A,KNIN,2025-07-04,2025-07-07,2025-07-06,None
SHIP-100311,Business Unit A,EXPD,2025-01-19,2025-01-24,2025-01-25,weather
SHIP-100312,Business Unit B,JBHT,2025-01-08,2025-01-11,2025-01-11,None
SHIP-100313,Business Unit B,CHRW,2025-01-25,2025-01-30,2025-01-29,None
SHIP-100314,Business Unit B,EXPD,2025-07-01,2025-07-03,2025-07-02,None
SHIP-100315,Business Unit A,EXPD,2025-05-04,2025-05-07,2025-05-10,equipment failure
SHIP-100316,Business Unit B,KNIN,2025-07-16,2025-07-20,2025-07-20,None
SHIP-100317,Business Unit A,JBHT,2025-10-12,2025-10-15,2025-10-14,None
SHIP-100318,Business Unit B,JBHT,2025-06-26,2025-06-30,2025-06-29,None
SHIP-100319,Business Unit A,MAEU,2025-12-18,2025-12-22,2025-12-22,None
SHIP-100320,Business Unit B,EXPD,2025-06-13,2025-06-16,2025-06-16,None
