Shipment ID,Origin City,Origin State,Origin Country,Destination City,Destination State,Destination Country
SHIP-100064,Vancouver,BC,Canada,Chicago,IL,US
SHIP-100065,Los Angeles,CA,US,Chicago,IL,US
SHIP-100066,New York,NY,US,Houston,TX,US
SHIP-100067,New York,NY,US,Chicago,IL,US
SHIP-100068,Vancouver,BC,Canada,Vancouver,BC,Canada
SHIP-100069,Los Angeles,CA,US,Toronto,ON,Canada
SHIP-100070,Chicago,IL,US,Atlanta,GA,US
SHIP-100071,Houston,TX,US,Toronto,ON,Canada
SHIP-100072,New York,NY,US,Vancouver,BC,Canada
SHIP-100073,Atlanta,GA,US,Houston,TX,US
SHIP-100074,Chicago,IL,US,Montreal,QC,Canada
SHIP-100075,New York,NY,US,Vancouver,BC,Canada
SHIP-100076,Chicago,IL,US,Houston,TX,US
SHIP-100077,Toronto,ON,Canada,Los Angeles,CA,US
SHIP-100078,Chicago,IL,US,New York,NY,US
SHIP-100079,New York,NY,US,Los Angeles,CA,US
SHIP-100080,Toronto,ON,Canada,Chicago,IL,US
SHIP-100081,Vancouver,BC,Canada,New York,NY,US
SHIP-100082,Toronto,ON,Canada,Toronto,ON,Canada
SHIP-100083,Montreal,QC,Canada,Montreal,QC,Canada
SHIP-100084,Vancouver,BC,Canada,Toronto,ON,Canada
SHIP-100085,Atlanta,GA,US,New York,NY,US
SHIP-100086,Montreal,QC,Canada,Atlanta,GA,US
SHIP-100087,Los Angeles,CA,US,Toronto,ON,Canada
SHIP-100088,New York,NY,US,Chicago,IL,US
SHIP-100089,Vancouver,BC,Canada,Atlanta,GA,US
SHIP-100090,Los Angeles,CA,US,Vancouver,BC,Canada
SHIP-100091,New York,NY,US,Chicago,IL,US
SHIP-100092,Houston,TX,US,Montreal,QC,Canada
SHIP-100093,Chicago,IL,US,Toronto,ON,Canada
SHIP-100094,Montreal,QC,Canada,Chicago,IL,US
SHIP-100095,New York,NY,US,Los Angeles,CA,US
SHIP-100096,Toronto,ON,Canada,New York,NY,US
SHIP-100097,Montreal,QC,Canada,Houston,TX,US
SHIP-100098,Montreal,QC,Canada,New York,NY,US
SHIP-100099,Montreal,QC,Canada,Chicago,IL,US
SHIP-100100,Vancouver,BC,Canada,Montreal,QC,Canada
SHIP-100101,Atlanta,GA,US,Vancouver,BC,Canada
SHIP-100102,New York,NY,US,Atlanta,GA,US
SHIP-100103,Houston,TX,US,Montreal,QC,Canada
SHIP-100104,Los Angeles,CA,US,Chicago,IL,US
SHIP-100105,Montreal,QC,Canada,Chicago,IL,US
SHIP-100106,New York,NY,US,Atlanta,GA,US
SHIP-100107,Los Angeles,CA,US,Vancouver,BC,Canada
SHIP-100108,Chicago,IL,US,Los Angeles,CA,US
SHIP-100109,Toronto,ON,Canada,Montreal,QC,Canada
SHIP-100110,Houston,TX,US,Los Angeles,CA,US
SHIP-100111,Montreal,QC,Canada,Toronto,ON,Canada
SHIP-100112,New York,NY,US,Los Angeles,CA,US
SHIP-100113,New York,NY,US,New York,NY,US
SHIP-100114,New York,NY,US,Chicago,IL,US
SHIP-100115,Vancouver,BC,Canada,Houston,TX,US
SHIP-100116,Atlanta,GA,US,Los Angeles,CA,US
SHIP-100117,Toronto,ON,Canada,Atlanta,GA,US
SHIP-100118,Los Angeles,CA,US,New York,NY,US
SHIP-100119,Atlanta,GA,US,Atlanta,GA,US
SHIP-100120,Montreal,QC,Canada,Montreal,QC,Canada
SHIP-100121,Montreal,QC,Canada,Atlanta,GA,US
SHIP-100122,Vancouver,BC,Canada,Houston,TX,US
SHIP-100123,Los Angeles,CA,US,Toronto,ON,Canada
SHIP-100124,Toronto,ON,Canada,Houston,TX,US
SHIP-100125,Montreal,QC,Canada,Vancouver,BC,Canada
SHIP-100126,Vancouver,BC,Canada,Chicago,IL,US
SHIP-100127,Vancouver,BC,Canada,Chicago,IL,US
SHIP-100128,Toronto,ON,Canada,Atlanta,GA,US
SHIP-100129,Atlanta,GA,US,Toronto,ON,Canada
SHIP-100130,Chicago,IL,US,Vancouver,BC,Canada
SHIP-100131,Atlanta,GA,US,New York,NY,US
SHIP-100132,Montreal,QC,Canada,Chicago,IL,US
SHIP-100133,Atlanta,GA,US,Montreal,QC,Canada
SHIP-100134,Los Angeles,CA,US,Toronto,ON,Canada
SHIP-100135,New York,NY,US,Toronto,ON,Canada
SHIP-100136,Los Angeles,CA,US,Houston,TX,US
SHIP-100137,Atlanta,GA,US,Los Angeles,CA,US
SHIP-100138,New York,NY,US,Toronto,ON,Canada
SHIP-100139,Toronto,ON,Canada,Chicago,IL,US
SHIP-100140,Montreal,QC,Canada,Montreal,QC,Canada
SHIP-100141,Houston,TX,US,Vancouver,BC,Canada
SHIP-100142,Chicago,IL,US,Los Angeles,CA,US
SHIP-100143,New York,NY,US,Chicago,IL,US
SHIP-100144,Houston,TX,US,New York,NY,US
SHIP-100145,New York,NY,US,Los Angeles,CA,US
SHIP-100146,Chicago,IL,US,Vancouver,BC,Canada
SHIP-100147,Atlanta,GA,US,Los Angeles,CA,US
SHIP-100148,Atlanta,GA,US,Vancouver,BC,Canada
SHIP-100149,Montreal,QC,Canada,Vancouver,BC,Canada
SHIP-100150,Vancouver,BC,Canada,Montreal,QC,Canada
SHIP-100151,Atlanta,GA,US,Montreal,QC,Canada
SHIP-100152,Houston,TX,US,Chicago,IL,US
SHIP-100153,Chicago,IL,US,Vancouver,BC,Canada
SHIP-100154,New York,NY,US,Toronto,ON,Canada
SHIP-100155,Montreal,QC,Canada,New York,NY,US
SHIP-100156,Houston,TX,US,Vancouver,BC,Canada
SHIP-100157,Chicago,IL,US,Houston,TX,US
SHIP-100158,Toronto,ON,Canada,Chicago,IL,US
SHIP-100159,Toronto,ON,Canada,Vancouver,BC,Canada
SHIP-100160,Vancouver,BC,Canada,Atlanta,GA,US
SHIP-100161,Houston,TX,US,Vancouver,BC,Canada
SHIP-100162,Los Angeles,CA,US,Houston,TX,US
SHIP-100163,New York,NY,US,Atlanta,GA,US
SHIP-100164,Atlanta,GA,US,Houston,TX,US
SHIP-100165,New York,NY,US,Atlanta,GA,US
SHIP-100166,Atlanta,GA,US,Chicago,IL,US
SHIP-100167,Los Angeles,CA,US,Toronto,ON,Canada
SHIP-100168,New York,NY,US,Montreal,QC,Canada
SHIP-100169,Houston,TX,US,Houston,TX,US
SHIP-100170,Chicago,IL,US,Toronto,ON,Canada
SHIP-100171,Chicago,IL,US,Chicago,IL,US
SHIP-100172,Houston,TX,US,Montreal,QC,Canada
SHIP-100173,Toronto,ON,Canada,Vancouver,BC,Canada
SHIP-100174,Montreal,QC,Canada,Chicago,IL,US
SHIP-100175,Atlanta,GA,US,Chicago,IL,US
SHIP-100176,Houston,TX,US,Toronto,ON,Canada
SHIP-100177,Los Angeles,CA,US,Montreal,QC,Canada
SHIP-100178,Chicago,IL,US,Vancouver,BC,Canada
SHIP-100179,Houston,TX,US,New York,NY,US
SHIP-100180,Houston,TX,US,Montreal,QC,Canada
SHIP-100181,Houston,TX,US,Vancouver,BC,Canada
SHIP-100182,Toronto,ON,Canada,Atlanta,GA,US
SHIP-100183,Los Angeles,CA,US,New York,NY,US
SHIP-100184,New York,NY,US,Atlanta,GA,US
SHIP-100185,Vancouver,BC,Canada,Toronto,ON,Canada
SHIP-100186,Houston,TX,US,Vancouver,BC,Canada
SHIP-100187,Atlanta,GA,US,Vancouver,BC,Canada
SHIP-100188,Houston,TX,US,Atlanta,GA,US
SHIP-100189,Montreal,QC,Canada,Vancouver,BC,Canada
SHIP-100190,Vancouver,BC,Canada,Toronto,ON,Canada
SHIP-100191,Los Angeles,CA,US,Los Angeles,CA,US
SHIP-100192,Los Angeles,CA,US,Houston,TX,US
SHIP-100193,Los Angeles,CA,US,New York,NY,US
SHIP-100194,Montreal,QC,Canada,Montreal,QC,Canada
SHIP-100195,Atlanta,GA,US,Chicago,IL,US
SHIP-100196,Chicago,IL,US,Montreal,QC,Canada
SHIP-100197,New York,NY,US,Los Angeles,CA,US
SHIP-100198,Los Angeles,CA,US,Montreal,QC,Canada
SHIP-100199,Los Angeles,CA,US,New York,NY,US
SHIP-100200,Atlanta,GA,US,Montreal,QC,Canada
SHIP-100201,Atlanta,GA,US,Houston,TX,US
SHIP-100202,Los Angeles,CA,US,Chicago,IL,US
SHIP-100203,New York,NY,US,Toronto,ON,Canada
SHIP-100204,Atlanta,GA,US,Chicago,IL,US
SHIP-100205,Toronto,ON,Canada,Chicago,IL,US
SHIP-100206,Vancouver,BC,Canada,Montreal,QC,Canada
SHIP-100207,Atlanta,GA,US,Atlanta,GA,US
SHIP-100208,Atlanta,GA,US,New York,NY,US
SHIP-100209,Vancouver,BC,Canada,Chicago,IL,US
SHIP-100210,Atlanta,GA,US,Houston,TX,US
SHIP-100211,Atlanta,GA,US,Vancouver,BC,Canada
SHIP-100212,Vancouver,BC,Canada,Chicago,IL,US
SHIP-100213,Los Angeles,CA,US,Atlanta,GA,US
SHIP-100214,Chicago,IL,US,Chicago,IL,US
SHIP-100215,New York,NY,US,Houston,TX,US
SHIP-100216,Montreal,QC,Canada,Los Angeles,CA,US
SHIP-100217,Atlanta,GA,US,New York,NY,US
SHIP-100218,Toronto,ON,Canada,Houston,TX,US
SHIP-100219,Atlanta,GA,US,Toronto,ON,Canada
SHIP-100220,Montreal,QC,Canada,Montreal,QC,Canada
SHIP-100221,Chicago,IL,US,Chicago,IL,US
SHIP-100222,Atlanta,GA,US,Montreal,QC,Canada
SHIP-100223,Los Angeles,CA,US,Los Angeles,CA,US
SHIP-100224,New York,NY,US,New York,NY,US
SHIP-100225,Atlanta,GA,US,Atlanta,GA,US
SHIP-100226,Vancouver,BC,Canada,Toronto,ON,Canada
SHIP-100227,Atlanta,GA,US,Vancouver,BC,Canada
SHIP-100228,Montreal,QC,Canada,Los Angeles,CA,US
SHIP-100229,Vancouver,BC,Canada,Houston,TX,US
SHIP-100230,Chicago,IL,US,Los Angeles,CA,US
SHIP-100231,Chicago,IL,US,Los Angeles,CA,US
SHIP-100232,Los Angeles,CA,US,Toronto,ON,Canada
SHIP-100233,Atlanta,GA,US,Montreal,QC,Canada
SHIP-100234,Montreal,QC,Canada,Vancouver,BC,Canada
SHIP-100235,Atlanta,GA,US,Toronto,ON,Canada
SHIP-100236,Atlanta,GA,US,Toronto,ON,Canada
SHIP-100237,New York,NY,US,Vancouver,BC,Canada
SHIP-100238,Vancouver,BC,Canada,Los Angeles,CA,US
SHIP-100239,Montreal,QC,Canada,Toronto,ON,Canada
SHIP-100240,Toronto,ON,Canada,Houston,TX,US
SHIP-100241,New York,NY,US,Atlanta,GA,US
SHIP-100242,Vancouver,BC,Canada,Vancouver,BC,Canada
SHIP-100243,Chicago,IL,US,Houston,TX,US
SHIP-100244,Chicago,IL,US,Houston,TX,US
SHIP-100245,Montreal,QC,Canada,Los Angeles,CA,US
SHIP-100246,Toronto,ON,Canada,New York,NY,US
SHIP-100247,Vancouver,BC,Canada,Atlanta,GA,US
SHIP-100248,New York,NY,US,Atlanta,GA,US
SHIP-100249,Atlanta,GA,US,Toronto,ON,Canada
SHIP-100250,Montreal,QC,Canada,Los Angeles,CA,US
SHIP-100251,Vancouver,BC,Canada,Montreal,QC,Canada
SHIP-100252,Houston,TX,US,Los Angeles,CA,US
SHIP-100253,Montreal,QC,Canada,Vancouver,BC,Canada
SHIP-100254,Los Angeles,CA,US,Toronto,ON,Canada
SHIP-100255,Montreal,QC,Canada,Houston,TX,US
SHIP-100256,Los Angeles,CA,US,Atlanta,GA,US
SHIP-100257,Los Angeles,CA,US,Houston,TX,US
SHIP-100258,Atlanta,GA,US,Los Angeles,CA,US
SHIP-100259,Los Angeles,CA,US,Houston,TX,US
SHIP-100260,Toronto,ON,Canada,Vancouver,BC,Canada
SHIP-100261,Atlanta,GA,US,Toronto,ON,Canada
SHIP-100262,New York,NY,US,Vancouver,BC,Canada
SHIP-100263,Los Angeles,CA,US,Montreal,QC,Canada
SHIP-100264,Houston,TX,US,Los Angeles,CA,US
SHIP-100265,Los Angeles,CA,US,New York,NY,US
SHIP-100266,New York,NY,US,New York,NY,US
SHIP-100267,Vancouver,BC,Canada,Toronto,ON,Canada
SHIP-100268,Toronto,ON,Canada,Atlanta,GA,US
SHIP-100269,New York,NY,US,Los Angeles,CA,US
SHIP-100270,Toronto,ON,Canada,Chicago,IL,US
SHIP-100271,Los Angeles,CA,US,Chicago,IL,US
SHIP-100272,Montreal,QC,Canada,Chicago,IL,US
SHIP-100273,Montreal,QC,Canada,Vancouver,BC,Canada
SHIP-100274,Los Angeles,CA,US,Montreal,QC,Canada
SHIP-100275,Montreal,QC,Canada,Los Angeles,CA,US
SHIP-100276,Houston,TX,US,Houston,TX,US
SHIP-100277,Toronto,ON,Canada,Chicago,IL,US
SHIP-100278,Chicago,IL,US,Vancouver,BC,Canada
SHIP-100279,Toronto,ON,Canada,Vancouver,BC,Canada
SHIP-100280,Toronto,ON,Canada,Toronto,ON,Canada
SHIP-100281,Vancouver,BC,Canada,Los Angeles,CA,US
SHIP-100282,New York,NY,US,Atlanta,GA,US
SHIP-100283,Atlanta,GA,US,Vancouver,BC,Canada
SHIP-100284,New York,NY,US,Los Angeles,CA,US
SHIP-100285,Montreal,QC,Canada,Chicago,IL,US
SHIP-100286,New York,NY,US,New York,NY,US
SHIP-100287,Atlanta,GA,US,Montreal,QC,Canada
SHIP-100288,Toronto,ON,Canada,Vancouver,BC,Canada
SHIP-100289,Houston,TX,US,Toronto,ON,Canada
SHIP-100290,Vancouver,BC,Canada,Houston,TX,US
SHIP-100291,Houston,TX,US,Vancouver,BC,Canada
SHIP-100292,Chicago,IL,US,New York,NY,US
SHIP-100293,Atlanta,GA,US,Houston,TX,US
SHIP-100294,Atlanta,GA,US,Toronto,ON,Canada
SHIP-100295,Montreal,QC,Canada,Vancouver,BC,Canada
SHIP-100296,Houston,TX,US,Los Angeles,CA,US
SHIP-100297,Toronto,ON,Canada,Toronto,ON,Canada
SHIP-100298,New York,NY,US,Houston,TX,US
SHIP-100299,Atlanta,GA,US,Toronto,ON,Canada
SHIP-100300,Vancouver,BC,Canada,Vancouver,BC,Canada
SHIP-100301,Atlanta,GA,US,Toronto,ON,Canada
SHIP-100302,Los Angeles,CA,US,Houston,TX,US
SHIP-100303,Los Angeles,CA,US,Atlanta,GA,US
SHIP-100304,Houston,TX,US,Los Angeles,CA,US
SHIP-100305,Atlanta,GA,US,Vancouver,BC,Canada
SHIP-100306,Montreal,QC,Canada,New York,NY,US
SHIP-100307,Chicago,IL,US,Montreal,QC,Canada
SHIP-100308,Los Angeles,CA,US,Montreal,QC,Canada
SHIP-100309,Toronto,ON,Canada,New York,NY,US
SHIP-100310,New York,NY,US,Houston,TX,US
SHIP-100311,Vancouver,BC,Canada,Toronto,ON,Canada
SHIP-100312,Montreal,QC,Canada,Houston,TX,US
SHIP-100313,New York,NY,US,Montreal,QC,Canada
SHIP-100314,Montreal,QC,Canada,Atlanta,GA,US
SHIP-100315,Los Angeles,CA,US,Atlanta,GA,US
SHIP-100316,Los Angeles,CA,US,Vancouver,BC,Canada
SHIP-100317,Vancouver,BC,Canada,Montreal,QC,Canada
SHIP-100318,Chicago,IL,US,Montreal,QC,Canada
SHIP-100319,Houston,TX,US,Montreal,QC,Canada
SHIP-100320,Los Angeles,CA,US,Vancouver,BC,Canada
SHIP-100321,New York,NY,US,Los Angeles,CA,US
SHIP-100322,Toronto,ON,Canada,New York,NY,US
SHIP-100323,Montreal,QC,Canada,Toronto,ON,Canada
SHIP-100324,Atlanta,GA,US,Vancouver,BC,Canada
SHIP-100325,Vancouver,BC,Canada,New York,NY,US
SHIP-100326,New York,NY,US,Toronto,ON,Canada
SHIP-100327,Vancouver,BC,Canada,Montreal,QC,Canada
SHIP-100328,Montreal,QC,Canada,Toronto,ON,Canada
SHIP-100329,Los Angeles,CA,US,Montreal,QC,Canada
SHIP-100330,Los Angeles,CA,US,Los Angeles,CA,US
SHIP-100331,New York,NY,US,Montreal,QC,Canada
SHIP-100332,Montreal,QC,Canada,Vancouver,BC,Canada
SHIP-100333,New York,NY,US,Los Angeles,CA,US
SHIP-100334,Chicago,IL,US,Los Angeles,CA,US
SHIP-100335,Atlanta,GA,US,Toronto,ON,Canada
SHIP-100336,Montreal,QC,Canada,Chicago,IL,US
SHIP-100337,Houston,TX,US,New York,NY,US
SHIP-100338,Houston,TX,US,Montreal,QC,Canada
SHIP-100339,Atlanta,GA,US,Montreal,QC,Canada
SHIP-100340,Toronto,ON,Canada,Atlanta,GA,US
SHIP-100341,Toronto,ON,Canada,Chicago,IL,US
SHIP-100342,Toronto,ON,Canada,Los Angeles,CA,US
SHIP-100343,New York,NY,US,Chicago,IL,US
SHIP-100344,Chicago,IL,US,New York,NY,US
SHIP-100345,Houston,TX,US,New York,NY,US
SHIP-100346,Chicago,IL,US,Los Angeles,CA,US
SHIP-100347,Montreal,QC,Canada,Los Angeles,CA,US
SHIP-100348,New York,NY,US,Houston,TX,US
SHIP-100349,Atlanta,GA,US,Montreal,QC,Canada
SHIP-100350,Vancouver,BC,Canada,Vancouver,BC,Canada
SHIP-100351,Atlanta,GA,US,Los Angeles,CA,US
SHIP-100352,Atlanta,GA,US,Atlanta,GA,US
SHIP-100353,Atlanta,GA,US,Toronto,ON,Canada
SHIP-100354,Los Angeles,CA,US,Atlanta,GA,US
SHIP-100355,Toronto,ON,Canada,Montreal,QC,Canada
SHIP-100356,Montreal,QC,Canada,Montreal,QC,Canada
SHIP-100357,Montreal,QC,Canada,Los Angeles,CA,US
SHIP-100358,Los Angeles,CA,US,Montreal,QC,Canada
SHIP-100359,Montreal,QC,Canada,Vancouver,BC,Canada
SHIP-100360,Vancouver,BC,Canada,Toronto,ON,Canada
SHIP-100361,Vancouver,BC,Canada,Houston,TX,US
SHIP-100362,Vancouver,BC,Canada,Los Angeles,CA,US
SHIP-100363,Vancouver,BC,Canada,New York,NY,US
SHIP-100364,Montreal,QC,Canada,Atlanta,GA,US
SHIP-100365,Atlanta,GA,US,Toronto,ON,Canada
SHIP-100366,Atlanta,GA,US,New York,NY,US
SHIP-100367,New York,NY,US,New York,NY,US
SHIP-100368,Montreal,QC,Canada,Chicago,IL,US
SHIP-100369,Los Angeles,CA,US,Los Angeles,CA,US
SHIP-100370,Houston,TX,US,Chicago,IL,US
SHIP-100371,Toronto,ON,Canada,Toronto,ON,Canada
SHIP-100372,New York,NY,US,Vancouver,BC,Canada
SHIP-100373,Montreal,QC,Canada,Houston,TX,US
SHIP-100374,Los Angeles,CA,US,Chicago,IL,US
SHIP-100375,Toronto,ON,Canada,Chicago,IL,US
SHIP-100376,Chicago,IL,US,Los Angeles,CA,US
SHIP-100377,Houston,TX,US,Montreal,QC,Canada
SHIP-100378,Montreal,QC,Canada,Atlanta,GA,US
SHIP-100379,Chicago,IL,US,Vancouver,BC,Canada
SHIP-100380,Chicago,IL,US,Chicago,IL,US
SHIP-100381,Chicago,IL,US,Vancouver,BC,Canada
SHIP-100382,Atlanta,GA,US,Montreal,QC,Canada
SHIP-100383,New York,NY,US,Vancouver,BC,Canada
SHIP-100384,Los Angeles,CA,US,Montreal,QC,Canada
SHIP-100385,Los Angeles,CA,US,Chicago,IL,US
SHIP-100386,Atlanta,GA,US,Los Angeles,CA,US
SHIP-100387,Toronto,ON,Canada,Vancouver,BC,Canada
SHIP-100388,Houston,TX,US,New York,NY,US
SHIP-100389,Houston,TX,US,Atlanta,GA,US
SHIP-100390,Montreal,QC,Canada,Toronto,ON,Canada
SHIP-100391,Vancouver,BC,Canada,Atlanta,GA,US
SHIP-100392,Chicago,IL,US,Montreal,QC,Canada
SHIP-100393,Montreal,QC,Canada,Toronto,ON,Canada
SHIP-100394,Houston,TX,US,Montreal,QC,Canada
SHIP-100395,New York,NY,US,Toronto,ON,Canada
SHIP-100396,Toronto,ON,Canada,Atlanta,GA,US
SHIP-100397,Atlanta,GA,US,Toronto,ON,Canada
SHIP-100398,Houston,TX,US,Chicago,IL,US
SHIP-100399,Los Angeles,CA,US,Montreal,QC,Canada
SHIP-100400,Montreal,QC,Canada,New York,NY,US
SHIP-100401,Atlanta,GA,US,Houston,TX,US
SHIP-100402,Chicago,IL,US,Vancouver,BC,Canada
SHIP-100403,Chicago,IL,US,Montreal,QC,Canada
SHIP-100404,Atlanta,GA,US,Los Angeles,CA,US
SHIP-100405,Houston,TX,US,Toronto,ON,Canada
SHIP-100406,Montreal,QC,Canada,Toronto,ON,Canada
SHIP-100407,Toronto,ON,Canada,Vancouver,BC,Canada
SHIP-100408,Montreal,QC,Canada,Houston,TX,US
SHIP-100409,Toronto,ON,Canada,Vancouver,BC,Canada
SHIP-100410,Montreal,QC,Canada,Toronto,ON,Canada
SHIP-100411,Chicago,IL,US,Vancouver,BC,Canada
SHIP-100412,Houston,TX,US,Houston,TX,US
SHIP-100413,New York,NY,US,Atlanta,GA,US
SHIP-100414,Vancouver,BC,Canada,Atlanta,GA,US
SHIP-100415,Montreal,QC,Canada,Houston,TX,US
SHIP-100416,Chicago,IL,US,Toronto,ON,Canada
SHIP-100417,Montreal,QC,Canada,Atlanta,GA,US
SHIP-100418,New York,NY,US,Toronto,ON,Canada
SHIP-100419,Toronto,ON,Canada,Vancouver,BC,Canada
SHIP-100420,Los Angeles,CA,US,Chicago,IL,US
SHIP-100421,Atlanta,GA,US,Los Angeles,CA,US
SHIP-100422,Chicago,IL,US,Chicago,IL,US
SHIP-100423,New York,NY,US,Montreal,QC,Canada
SHIP-100424,Vancouver,BC,Canada,Chicago,IL,US
SHIP-100425,Los Angeles,CA,US,Chicago,IL,US
SHIP-100426,Chicago,IL,US,Atlanta,GA,US
SHIP-100427,Atlanta,GA,US,Houston,TX,US
SHIP-100428,Toronto,ON,Canada,Los Angeles,CA,US
SHIP-100429,Houston,TX,US,Chicago,IL,US
SHIP-100430,Toronto,ON,Canada,Toronto,ON,Canada
SHIP-100431,Toronto,ON,Canada,New York,NY,US
SHIP-100432,Vancouver,BC,Canada,Chicago,IL,US
SHIP-100433,Vancouver,BC,Canada,Atlanta,GA,US
SHIP-100434,Atlanta,GA,US,Houston,TX,US
SHIP-100435,Chicago,IL,US,Atlanta,GA,US
SHIP-100436,Montreal,QC,Canada,Los Angeles,CA,US
SHIP-100437,Los Angeles,CA,US,Vancouver,BC,Canada
SHIP-100438,Houston,TX,US,Chicago,IL,US
SHIP-100439,New York,NY,US,Toronto,ON,Canada
SHIP-100440,Chicago,IL,US,Los Angeles,CA,US
SHIP-100441,New York,NY,US,Toronto,ON,Canada
SHIP-100442,Toronto,ON,Canada,Los Angeles,CA,US
SHIP-100443,Vancouver,BC,Canada,Atlanta,GA,US
SHIP-100444,Chicago,IL,US,New York,NY,US
SHIP-100445,Houston,TX,US,Atlanta,GA,US
SHIP-100446,Toronto,ON,Canada,Los Angeles,CA,US
SHIP-100447,Montreal,QC,Canada,Los Angeles,CA,US
SHIP-100448,Montreal,QC,Canada,New York,NY,US
SHIP-100449,Los Angeles,CA,US,Houston,TX,US
SHIP-100450,Los Angeles,CA,US,Vancouver,BC,Canada
SHIP-100451,Atlanta,GA,US,Montreal,QC,Canada
SHIP-100452,New York,NY,US,Atlanta,GA,US
SHIP-100453,Houston,TX,US,Los Angeles,CA,US
SHIP-100454,Montreal,QC,Canada,Chicago,IL,US
SHIP-100455,Vancouver,BC,Canada,Toronto,ON,Canada
SHIP-100456,Houston,TX,US,Montreal,QC,Canada
SHIP-100457,Toronto,ON,Canada,New York,NY,US
SHIP-100458,Los Angeles,CA,US,Atlanta,GA,US
SHIP-100459,Vancouver,BC,Canada,Vancouver,BC,Canada
SHIP-100460,Atlanta,GA,US,Chicago,IL,US
SHIP-100461,New York,NY,US,Toronto,ON,Canada
SHIP-100462,Chicago,IL,US,New York,NY,US
SHIP-100463,Atlanta,GA,US,Los Angeles,CA,US
SHIP-100464,Atlanta,GA,US,Atlanta,GA,US
SHIP-100465,Chicago,IL,US,Houston,TX,US
